tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,postal code,year,month,birth year,gender
1509,01/11/2020 00:25:20,01/11/2020 00:50:30,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,354,Washington St at Egremont Rd,42.34286835,-71.14127841,2311,Subscriber,2139,2020,11,,
910,01/11/2020 00:27:06,01/11/2020 00:42:17,55,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,47,Cross St at Hanover St,42.362811,-71.056067,2160,Subscriber,2115,2020,11,,
822,01/11/2020 00:28:47,01/11/2020 00:42:30,64,Congress St at Sleeper St,42.3510045,-71.04930013,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,4654,Subscriber,,2020,11,,
814,01/11/2020 00:28:49,01/11/2020 00:42:24,64,Congress St at Sleeper St,42.3510045,-71.04930013,25,South End Library - Tremont St at W Newton St,42.341332,-71.076847,2631,Subscriber,,2020,11,,
962,01/11/2020 00:29:22,01/11/2020 00:45:25,59,Chinatown Gate Plaza,42.351356,-71.059367,146,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,3869,Subscriber,2127,2020,11,,
663,01/11/2020 00:29:32,01/11/2020 00:40:36,6,Cambridge St at Joy St,42.36125722,-71.06528744,195,Child St at North St,42.37150494,-71.07249312,5532,Customer,2141,2020,11,,
413,01/11/2020 00:29:53,01/11/2020 00:36:47,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,2575,Subscriber,2139,2020,11,,
385,01/11/2020 00:29:54,01/11/2020 00:36:20,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,6396,Subscriber,2139,2020,11,,
607,01/11/2020 00:29:57,01/11/2020 00:40:05,6,Cambridge St at Joy St,42.36125722,-71.06528744,195,Child St at North St,42.37150494,-71.07249312,5133,Customer,2141,2020,11,,
41120,01/11/2020 00:30:27,01/11/2020 10:55:48,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,3931,Customer,2138,2020,11,,
638,01/11/2020 00:31:03,01/11/2020 00:41:42,110,Harvard University Gund Hall at Quincy St / Kirkland St,42.376369,-71.114025,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,6159,Subscriber,45069,2020,11,,
433,01/11/2020 00:31:05,01/11/2020 00:38:19,19,Park Dr at Buswell St,42.347241,-71.105301,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,3987,Subscriber,2215,2020,11,,
442,01/11/2020 00:32:10,01/11/2020 00:39:32,41,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.123831,10,B.U. Central - 725 Comm. Ave.,42.350406,-71.108279,4451,Subscriber,2067,2020,11,,
329,01/11/2020 00:33:36,01/11/2020 00:39:05,446,700 Commonwealth Ave.,42.34960945,-71.10391524,53,Beacon St at Massachusetts Ave,42.35082681,-71.08981088,2054,Customer,,2020,11,,
2544336,01/11/2020 00:34:02,30/11/2020 10:19:39,440,Boston Landing,42.35656092,-71.14167538,458,Watertown Sq,42.36526032,-71.18573324,3805,Customer,2186,2020,11,,
