tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,year,month
1162,01/12/2019 02:12:48,01/12/2019 02:32:11,49,Stuart St at Charles St,42.351146,-71.066289,327,Main St at Thompson Sq,42.37487847,-71.06383499,4773,Subscriber,1986,1,2019,12
429,01/12/2019 02:14:34,01/12/2019 02:21:44,59,Chinatown Gate Plaza,42.351356,-71.059367,163,The Lawn on D,42.344792,-71.044024,3578,Subscriber,1994,1,2019,12
103,01/12/2019 02:25:25,01/12/2019 02:27:08,178,MIT Pacific St at Purrington St,42.3595732,-71.10129476,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,5762,Subscriber,1994,1,2019,12
976,01/12/2019 02:29:16,01/12/2019 02:45:32,107,Ames St at Main St,42.3625,-71.08822,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,4127,Subscriber,1994,1,2019,12
1111,01/12/2019 02:30:25,01/12/2019 02:48:57,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,352,Ring Rd,42.34827839,-71.08044855,2975,Subscriber,1994,1,2019,12
364,01/12/2019 02:32:19,01/12/2019 02:38:23,107,Ames St at Main St,42.3625,-71.08822,386,Sennott Park  Broadway at Norfolk Street,42.36860524,-71.09930186,6097,Subscriber,1992,1,2019,12
319,01/12/2019 02:35:43,01/12/2019 02:41:03,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,5684,Customer,2000,1,2019,12
166,01/12/2019 02:36:05,01/12/2019 02:38:51,176,Lesley University,42.38674802,-71.11901879,334,Mass Ave at Hadley/Walden,42.39120972,-71.12260755,5329,Subscriber,1991,2,2019,12
827,01/12/2019 02:58:02,01/12/2019 03:11:49,327,Main St at Thompson Sq,42.37487847,-71.06383499,188,Foss Park,42.39108438,-71.09039426,4773,Subscriber,1986,1,2019,12
329,01/12/2019 03:07:11,01/12/2019 03:12:41,98,Warren St at Chelsea St,42.371848,-71.060292,47,Cross St at Hanover St,42.362811,-71.056067,6040,Subscriber,1989,1,2019,12
1153,01/12/2019 03:15:38,01/12/2019 03:34:51,33,Kenmore Square,42.348706,-71.097009,338,Commonwealth Ave at Kelton St,42.34835863,-71.13997217,4107,Subscriber,1972,1,2019,12
2026,01/12/2019 03:18:47,01/12/2019 03:52:33,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,236,Assembly Square T,42.39223284,-71.07746601,3146,Customer,1969,0,2019,12
1946,01/12/2019 03:20:01,01/12/2019 03:52:28,90,Lechmere Station at Cambridge St / First St,42.370677,-71.076529,236,Assembly Square T,42.39223284,-71.07746601,5184,Customer,1969,0,2019,12
554,01/12/2019 03:23:27,01/12/2019 03:32:41,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,413,Kennedy-Longfellow School 158 Spring St,42.36955298,-71.08579015,3076,Subscriber,1959,2,2019,12
1979,01/12/2019 03:27:48,01/12/2019 04:00:48,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,137,Magoun Square at Trum Field,42.398365,-71.107818,5643,Subscriber,1991,1,2019,12
327,01/12/2019 03:47:58,01/12/2019 03:53:25,119,South Boston Library - 646 E Broadway,42.335741,-71.03877,161,W Broadway at D St,42.3391085,-71.0514432,2194,Subscriber,1992,1,2019,12
343,01/12/2019 03:58:12,01/12/2019 04:03:56,161,W Broadway at D St,42.3391085,-71.0514432,222,Troy Boston,42.343749,-71.062256,4503,Subscriber,1992,1,2019,12
359,01/12/2019 04:01:21,01/12/2019 04:07:21,332,Harvard Ave at Brainerd Rd,42.34953017,-71.13022771,8,Union Square - Brighton Ave at Cambridge St,42.353334,-71.137313,4028,Subscriber,1989,1,2019,12
3941,01/12/2019 04:09:37,01/12/2019 05:15:18,203,Columbia Rd at Ceylon St,42.309572,-71.0729,138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,2895,Customer,1993,1,2019,12
2701,01/12/2019 04:18:47,01/12/2019 05:03:49,114,Teele Square,42.40203828,-71.12653291,184,Sidney Research Campus/ Erie Street at Waverly,42.35775309,-71.10393405,4157,Subscriber,1997,1,2019,12
1464,01/12/2019 04:29:50,01/12/2019 04:54:15,59,Chinatown Gate Plaza,42.351356,-71.059367,279,Williams St at Washington St,42.306539,-71.107669,4178,Customer,1994,1,2019,12
